,District Name,January,February,March,April,May,June,July,August,September,October,November,December
49,Surendranagar 2010,35.8,26.525,74.5,29.974999999999998,36.825,108.4,85.125,44.3,45.075,98.625,51.474999999999994,50.0
50,Gir Somnath 2010,49.7,37.65,72.3,36.775,36.025,109.875,97.525,46.725,57.5,157.475,57.2,56.35
51,Sangli 2011,24.1,23.5,49.7,29.0,11.65,0.95,12.6,3.75,32.1,43.6,46.45,14.3
52,Solapur 2011,24.1,23.5,49.7,29.0,11.65,0.95,12.6,3.75,32.1,43.6,46.45,14.3
53,Kolhapur 2011,25.3,18.05,36.95,25.375,12.05,1.75,15.95,2.45,50.7,62.025,21.5,17.95
54,Osmanabad 2011,20.475,25.675,51.825,27.475,12.35,2.875,15.075,10.725,30.95,38.65,51.075,14.025
55,Satara 2011,24.1,23.5,49.7,29.0,11.65,0.95,12.6,3.75,32.1,43.6,46.45,14.3
56,Jalna 2011,19.925,33.8,57.275,27.525,15.3,4.525,18.6,16.025,37.275,41.95,55.175,12.9
57,Dhule 2011,21.425,26.85,49.675,27.175,13.325,3.4,19.0,12.125,32.375,41.6,50.925000000000004,15.75
58,Aurangabad 2011,20.275,30.875,54.625,27.35,14.4,4.05,18.25,14.275,34.925,41.3,53.474999999999994,13.75
59,Barddhaman 2011,19.45,30.55,51.725,26.0,14.075,3.65,19.475,13.15,33.325,40.4,50.6,12.9
60,Sitamarhi 2011,37.875,25.425,40.2,25.55,33.275,52.449999999999996,52.925,26.175,28.825,59.5,57.275,26.925
61,Samastipur 2011,33.775,27.8,47.475,24.125,25.3,28.025,38.325,19.925,30.675,53.775,58.025,20.5
62,Muzaffarpur 2011,37.875,25.425,40.2,25.55,33.275,52.449999999999996,52.925,26.175,28.825,59.5,57.275,26.925
63,Khagaria 2011,33.775,27.8,47.475,24.125,25.3,28.025,38.325,19.925,30.675,53.775,58.025,20.5
64,Begusarai 2011,33.775,27.8,47.475,24.125,25.3,28.025,38.325,19.925,30.675,53.775,58.025,20.5
65,Paschim Champaran 2011,38.4,18.85,29.9,27.325,39.75,79.1,69.925,33.65,26.125,65.65,52.95,33.425
66,Malkangiri 2011,19.35,33.9,57.375,27.375,15.175,4.775,18.325,16.625,37.55,41.375,55.05,12.55
67,Koraput 2011,19.35,33.9,57.375,27.375,15.175,4.775,18.325,16.625,37.55,41.375,55.05,12.55
68,Bargarh 2011,20.225,31.8,54.95,27.2,14.65,3.85,18.575,13.850000000000001,35.175,41.5,53.25,13.125
